,image_id,image_name,product_url,image_path
97,long_sleeve98,mock_neck_long_and_lean_tee,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=74104,data/venus/women/tops/long_sleeve/mock_neck_long_and_lean_tee
98,long_sleeve99,ribbed_cut_out_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=68578,data/venus/women/tops/long_sleeve/ribbed_cut_out_top
99,long_sleeve100,ruffle_sleeve_mock_neck_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=53129,data/venus/women/tops/long_sleeve/ruffle_sleeve_mock_neck_top
100,long_sleeve101,velvet_peplum_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=62508,data/venus/women/tops/long_sleeve/velvet_peplum_top
101,long_sleeve102,side_lace_up_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=41034,data/venus/women/tops/long_sleeve/side_lace_up_top
102,long_sleeve103,zip_detail_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=70215&clr=SPCO,data/venus/women/tops/long_sleeve/zip_detail_top
103,long_sleeve104,velvet_lace_bell_sleeve_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=66862,data/venus/women/tops/long_sleeve/velvet_lace_bell_sleeve_top
104,long_sleeve105,floral_printed_button_down,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=38799,data/venus/women/tops/long_sleeve/floral_printed_button_down
105,long_sleeve106,strappy_snake_print_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=68506,data/venus/women/tops/long_sleeve/strappy_snake_print_top
106,long_sleeve107,lace_sleeve_sweatshirt,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=63527,data/venus/women/tops/long_sleeve/lace_sleeve_sweatshirt
107,long_sleeve108,zip_detail_top_1,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=74975,data/venus/women/tops/long_sleeve/zip_detail_top_1
108,long_sleeve109,surplice_side_tie_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=45918,data/venus/women/tops/long_sleeve/surplice_side_tie_top
109,long_sleeve110,cold_shoulder_print_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=65217,data/venus/women/tops/long_sleeve/cold_shoulder_print_top
110,long_sleeve111,striped_sequin_peplum_top,https://www.venus.com/viewproduct.aspx?BRANCH=7~63~2052~&ProductDisplayID=74523,data/venus/women/tops/long_sleeve/striped_sequin_peplum_top
